time,strokeIdx,pointIdx,posX,posY,posZ,rotX,rotY,rotZ,rotW,width,colR,colG,colB,colA
30.69628,1,1,0.1883855,1.421374,-0.5876634,0.5098595,0.805886,0.2978075,0.04360975,0.05693997,0.4043511,0,0.4014504,1
30.70621,1,2,0.1891178,1.41249,-0.5888568,0.516468,0.8026763,0.2944221,0.0478266,0.05693997,0.4043511,0,0.4014504,1
30.71748,1,3,0.1896609,1.402804,-0.5900084,0.5232319,0.7996506,0.289579,0.05414301,0.05693997,0.4043511,0,0.4014504,1
30.72771,1,4,0.190479,1.392363,-0.5910363,0.5291489,0.7976133,0.2833079,0.05959209,0.05693997,0.4043511,0,0.4014504,1
30.73865,1,5,0.1909335,1.381266,-0.5916439,0.532832,0.79719,0.275791,0.06721361,0.05693997,0.4043511,0,0.4014504,1
30.74992,1,6,0.1916375,1.369955,-0.5921926,0.5357329,0.7968182,0.2689558,0.07572359,0.05693997,0.4043511,0,0.4014504,1
30.76105,1,7,0.1920152,1.358816,-0.5925724,0.538384,0.7962253,0.2633126,0.08267102,0.05693997,0.4043511,0,0.4014504,1
30.77199,1,8,0.1922825,1.347703,-0.5926523,0.5405068,0.7961422,0.2574379,0.08795319,0.05693997,0.4043511,0,0.4014504,1
30.78358,1,9,0.1923885,1.336388,-0.5929758,0.5435174,0.795725,0.2504101,0.09330242,0.05693997,0.4043511,0,0.4014504,1
30.79444,1,10,0.19297,1.324884,-0.5933082,0.5477196,0.7942585,0.2433041,0.09979846,0.05693997,0.4043511,0,0.4014504,1
30.80646,1,11,0.1932879,1.312983,-0.5931507,0.5522146,0.7922937,0.2362913,0.107221,0.05693997,0.4043511,0,0.4014504,1
30.81697,1,12,0.1933499,1.301993,-0.5926413,0.5544815,0.7915836,0.2307131,0.1127705,0.05693997,0.4043511,0,0.4014504,1
30.82797,1,13,0.1935779,1.290913,-0.5921534,0.5554395,0.7918239,0.2251749,0.1174664,0.05693997,0.4043511,0,0.4014504,1
30.83917,1,14,0.1937113,1.280375,-0.591267,0.5514444,0.7956074,0.2199131,0.1206484,0.05693997,0.4043511,0,0.4014504,1
30.8521,1,15,0.1937146,1.269906,-0.5903876,0.5498316,0.7976034,0.2140902,0.1252174,0.05693997,0.4043511,0,0.4014504,1
30.86167,1,16,0.1940085,1.258569,-0.5893862,0.5495008,0.798485,0.2082566,0.1307662,0.05693997,0.4043511,0,0.4014504,1
30.87335,1,17,0.1945216,1.247032,-0.5882515,0.5506993,0.7980599,0.2025248,0.137166,0.05693997,0.4043511,0,0.4014504,1
30.88591,1,18,0.1947458,1.235816,-0.5869794,0.5517116,0.797897,0.1963138,0.1429537,0.05693997,0.4043511,0,0.4014504,1
